0,1,2,3,4,5,6,7
-0.574237853,0.344542712,0.383107392,1.093333475,-1.020898865,0.446661012,3.989432953,-0.728978048
-0.639219727,0.383531836,0.65697382,0.974050027,-1.071209553,0.431989825,0.90567606,-0.104428845
-0.92379963,0.554279778,1.034694459,0.37198777,-2.177141818,1.253342188,-0.003961714,0.111648298
-0.666647857,0.399988714,0.831423658,0.870975447,-1.413967962,0.747320105,2.434998845,-0.407002026
-1.039748502,0.623849101,0.834976752,0.379281458,-1.650798581,0.611050079,1.201869446,-0.115604069
-1.186162051,0.71169723,0.525543142,0.289104565,-1.466063951,0.2799019,0.31237052,0.079865342
-0.9481622,0.56889732,0.280678466,0.830470146,-1.10983817,0.16167597,-0.906395908,0.295058646
-0.566965369,0.340179221,0.205886759,1.125155387,-0.720217418,0.15325205,-1.85777781,0.439591406
-1.121103035,0.672661821,0.433236543,0.529892936,-1.403882571,0.282779536,-0.239302182,0.182392801
-1.11966981,0.671801886,0.270098461,0.593897322,-1.11966981,-3.42E-17,0.299374401,0.074485497
-0.609955982,0.365973589,0.990125125,0.809090164,-1.414714661,0.804758678,-1.166900084,0.306574735
-1.129305953,0.677583572,0.636850853,0.363777317,-1.53771249,0.408406536,1.420140911,-0.148511468
-0.817812121,0.490687273,0.80119309,0.756828765,-1.667605722,0.849793601,-1.729741168,0.444085688
-1.169068916,0.701441349,0.48157012,0.385747181,-1.71674084,0.547671924,-0.35177389,0.210643048
-0.629940788,0.377964473,0.712696645,0.956182887,-1.385869734,0.755928946,1.133893419,-0.151185789
-0.912348923,0.547409354,0.732532564,0.692063792,-0.135380808,-0.776968115,2.666413303,-0.42380079
-0.42186666,0.253119996,0.653818688,1.082894295,0.271612781,-0.693479442,3.859213093,-0.721218619
-0.514272052,0.308563231,0.447563391,1.107210681,-0.988984715,0.474712663,-3.014425412,0.664597729
-1.063737561,0.638242536,0.448466648,0.626937401,-1.243524191,0.17978663,1.087709111,-0.089893315
-1.218850568,0.731310341,0.362887369,0.307920144,-1.603750748,0.384900179,0.346410162,0.076980036
-0.707106781,0.424264069,1.154700538,0.565685425,-1.11E-16,-0.707106781,-0.989949494,0.282842712
-0.751628384,0.45097703,1.184141429,0.46512152,0.672509606,-1.42413799,0.45097703,-1.65E-17
-0.745355992,0.447213595,0.421637021,0.979795897,-0.298142397,-0.447213595,-2.683281573,0.626099034
-1.031911532,0.619146919,0.720682427,0.515870477,-1.884020298,0.852108765,0.806767198,-0.037524056
-0.42980888,0.257885328,0.621738959,1.091200327,-0.438209053,0.008400174,-2.178165001,0.487210066
-1.047299358,0.628379615,0.901206871,0.244403759,-0.55226078,-0.495038579,1.251170085,-0.124558094
-1.055627946,0.633376768,0.709490255,0.477700534,-0.283494203,-0.772133744,-0.411274768,0.208930307
-0.779178734,0.46750724,0.418662107,0.954986128,-1.291796322,0.512617588,-1.507779199,0.395057288
-0.941190117,0.56471407,0.935204858,0.474162251,-2.067325464,1.126135347,1.486696226,-0.184396431
-1.046339603,0.627803762,0.84890922,0.341435761,-0.125014067,-0.921325536,1.558776686,-0.186194585
-0.910965285,0.546579171,0.473834817,0.817694869,-1.489744124,0.578778839,-1.401704526,0.389656739
-1.009494887,0.605696932,0.966738135,0.246847518,-0.621937435,-0.387557452,1.043083199,-0.087477253
-1.210422163,0.726253298,0.292927562,0.376827713,-1.521118761,0.310696598,0.267975816,0.091655496
-0.884252567,0.53055154,0.536268203,0.822692744,-0.884252567,5.25E-17,2.844972306,-0.462884153
-0.462789673,0.277673804,0,1.180844058,-0.462789673,0,-2.051203259,0.465775413
-1.059768029,0.635860817,0.699390361,0.477836719,-0.298285372,-0.761482657,-0.403768199,0.207925803
-0.768150094,0.460890056,0.550426841,0.922911584,-1.442212333,0.67406224,-0.794550865,0.251088184
-0.951321032,0.570792619,0.925889373,0.465645879,-2.067156227,1.115835195,1.501755711,-0.186192618
-1.230678034,0.73840682,0.156453982,0.362391509,-1.260482547,0.029804513,0.976842928,-0.047687221
-1.113744028,0.668246417,0.247966746,0.610162901,-0.812052644,-0.301691385,0.351470463,0.063355191
